Destination,HotelName,RoomType,Price,MaxOccupancy,Amenities,TotalRooms
Tokyo,Marriott Tokyo Shinjuku,Standard,180,2,WiFi|Breakfast|Basic Bathroom|24-hour water|snack,5
Tokyo,Marriott Tokyo Shinjuku,Deluxe,260,3,WiFi|Breakfast|Parking|Gym|KTV,5
Tokyo,Marriott Tokyo Shinjuku,Suite,420,4,WiFi|Breakfast|Parking|Gym|Pool|Laundry Service,5
Tokyo,Marriott Tokyo Shinjuku,Couple,220,2,WiFi|Breakfast|Jacuzzi|Room Decoration|rose hot spring,5
Tokyo,Marriott Tokyo Ginza,Standard,190,2,WiFi|Breakfast|Basic Bathroom|24-hour water|snack,5
Seoul,Marriott Seoul Gangnam,Standard,160,2,WiFi|Breakfast|Basic Bathroom|24-hour water|snack,5
Seoul,Marriott Seoul Gangnam,Deluxe,230,3,WiFi|Breakfast|Parking|Gym|KTV,5
Seoul,Marriott Seoul Gangnam,Suite,380,4,WiFi|Breakfast|Parking|Gym|Pool|Laundry Service,5
Seoul,Marriott Seoul Gangnam,Couple,200,2,WiFi|Breakfast|Jacuzzi|Room Decoration|rose hot spring,5
Seoul,Marriott Seoul Myeongdong,Standard,150,2,WiFi|Breakfast|Basic Bathroom|24-hour water|snack,5
Bangkok,Marriott Bangkok Sukhumvit,Standard,100,2,WiFi|Breakfast|Basic Bathroom|24-hour water|snack,5
Bangkok,Marriott Bangkok Sukhumvit,Deluxe,180,3,WiFi|Breakfast|Parking|Gym|KTV,5
Bangkok,Marriott Bangkok Sukhumvit,Suite,300,4,WiFi|Breakfast|Parking|Gym|Pool|Laundry Service,5
Bangkok,Marriott Bangkok Sukhumvit,Couple,150,2,WiFi|Breakfast|Jacuzzi|Room Decoration|rose hot spring,5
Bangkok,Marriott Bangkok Riverside,Standard,120,2,WiFi|Breakfast|Basic Bathroom|24-hour water|snack,5
Singapore,Marriott Singapore Orchard Road,Standard,160,2,WiFi|Breakfast|Basic Bathroom|24-hour water|snack,5
Singapore,Marriott Singapore Orchard Road,Deluxe,240,3,WiFi|Breakfast|Parking|Gym|KTV,5
Singapore,Marriott Singapore Orchard Road,Suite,400,4,WiFi|Breakfast|Parking|Gym|Pool|Laundry Service,5
Singapore,Marriott Singapore Orchard Road,Couple,200,2,WiFi|Breakfast|Jacuzzi|Room Decoration|rose hot spring,5
Singapore,Marriott Singapore Marina Bay,Standard,170,2,WiFi|Breakfast|Basic Bathroom|24-hour water|snack,5
Hong Kong,Marriott Hong Kong Central,Standard,180,2,WiFi|Breakfast|Basic Bathroom|24-hour water|snack,5
Hong Kong,Marriott Hong Kong Central,Deluxe,260,3,WiFi|Breakfast|Parking|Gym|KTV,5
Hong Kong,Marriott Hong Kong Central,Suite,420,4,WiFi|Breakfast|Parking|Gym|Pool|Laundry Service,5
